SRC_AGENCY,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,DECADE,SIZE_HA,CAUSE,PROTZONE,FIRE_TYPE,MORE_INFO,CFS_REF_ID,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,ECODISTRIC,ECOREGION,ECOZONE,CFS_ECOZ,jday,season,coords.x1,coords.x2,coords.x3,optional
PC-BA,2018BA19,Upper Panther IA,51.5357,-115.7781,2018,7,19,2018-07-19,NA,NA,2010-2019,0.1,L,Full Response,NA,AreaConfidence: Final Area,PC-BA-2018-2018BA19,NA,NA,2019-05-02,999,207,14,14,200,1,446054.1235,5707401.643,0,TRUE
AB,DB5003,NA,51.7239,-115.497,1982,5,24,1982-05-24,NA,NA,1980-1989,0,H,INT,NA,NA,AB-1982-DB5003,NA,NA,NA,999,207,14,14,144,1,465650.4881,5728154.332,0,TRUE
AB,DB5002,NA,51.7385,-115.532,1983,4,21,1983-04-21,1983-04-21,1983-04-21,1980-1989,0.1,H,INT,NA,NA,AB-1983-DB5002,NA,NA,NA,999,207,14,14,111,1,463225.0925,5729794.648,0,TRUE
AB,DB5012,NA,51.7166,-115.739,1984,7,26,1984-07-26,1984-07-26,1984-07-26,1980-1989,0,L,INT,NA,NA,AB-1984-DB5012,NA,NA,NA,999,207,14,14,208,1,448933.7378,5727484.384,0,TRUE
AB,DB5015,NA,51.7239,-115.556,1985,8,1,1985-08-01,1985-08-01,1985-08-01,1980-1989,0.1,H,INT,NA,NA,AB-1985-DB5015,NA,NA,NA,999,207,14,14,213,1,461583.8102,5728183.694,0,TRUE
AB,DB5010,NA,51.7275,-115.497,1986,11,8,1986-11-08,1986-11-13,1986-11-13,1980-1989,0.1,H,INT,NA,NA,AB-1986-DB5010,NA,NA,NA,999,207,14,14,312,1,465653.2164,5728554.552,0,TRUE
AB,DB5002,NA,51.7056,-115.698,1988,3,6,1988-03-06,1988-03-07,1988-03-07,1980-1989,0.1,H,INT,NA,NA,AB-1988-DB5002,NA,NA,NA,999,207,14,14,66,1,451780.8907,5726233.35,0,TRUE
AB,DB5015,NA,51.7385,-115.503,1990,11,10,1990-11-10,1990-11-15,1990-11-15,1990-1999,0.1,H,INT,NA,NA,AB-1990-DB5015,NA,NA,NA,999,207,14,14,314,1,465261.2282,5729780.193,0,TRUE
AB,DB4033,NA,51.713,-115.621,1994,8,4,1994-08-04,1994-08-05,1994-08-05,1990-1999,0.1,L,INT,NA,NA,AB-1994-DB4033,NA,NA,NA,999,207,14,14,216,1,457085.6594,5727008.138,0,TRUE
AB,DB4034,NA,51.7094,-115.544,1994,8,5,1994-08-05,1994-08-05,1994-08-06,1990-1999,0.1,L,INT,NA,NA,AB-1994-DB4034,NA,NA,NA,999,207,14,14,217,1,462379.5918,5726565.61,0,TRUE
